1	125908
1	147680
10000	26068
100009668	100419602
100009669	100419605
10002	51736
100033392	100033393
100033392	100033394
100033392	100033397
100033392	100419817
100033392	100419818
100033392	100419822
100033395	100419823
100033396	100419819
100033407	100419938
100034743	100037279
100034743	100419797
100034743	728939
100037267	100421205
100037280	100128647
100037280	606552
100048905	100033388
100048906	100033389
100049076	102725010
100049076	102725011
100049076	728565
100049717	100421059
10007	9930
100101111	100132935
100101111	100420456
100101112	100291373
100101119	100133160
100101126	100421454
100101127	100421447
100101267	100036581
100101267	340318
100101267	378126
100101267	392733
100101267	402556
100101267	441253
100101267	442581
100101268	392730
100101405	100420799
100101407	100420761
100101440	5392
100101483	100422525
100101917	100421908
100113374	100421470
100113375	100421543
100113397	100421783
100113402	100500806
100113404	100131263
100113421	100422295
100114903	100420622
100118954	100420736
100124332	100419874
100124334	100419865
100124394	100420301
100124401	100420431
100124516	619491
100124700	400041
100125392	100420227
100125392	100996874
100125393	100420313
100126008	100422457
100126299	100303648
100126446	100419695
100126582	100132771
100126825	100420956
100127888	100135777
100127889	414265
100127899	100134498
100127903	100420288
100127905	387100
100127924	644301
100127924	650567
100127949	100419541
100127949	101060486
100127952	23777
100127963	100419636
100127986	100420685
100127993	100270932
100127993	100419278
100127999	100419517
100128002	100130825
100128002	100292905
100128016	100421521
100128016	654379
100128016	83645
100128017	100419336
100128023	100421155
100128030	100419446
100128036	100420739
100128045	100287348
100128048	100422293
100128060	387907
100128062	100422516
100128062	6516
100128075	100506750
100128119	100421025
100128119	404023
100128132	494556
100128140	100420481
100128162	100419205
100128164	100420299
100128181	100420661
100128218	100422245
100128240	387033
100128252	386759
100128260	100131986
100128260	100288773
100128260	100506511
100128276	100134058
100128285	440290
100128314	100134619
100128324	100421639
100128327	221300
100128329	55414
100128337	100418842
100128338	100131318
100128340	100509198
100128349	100134758
100128358	100419498
100128385	100133525
100128385	401549
100128390	803
100128397	100422361
100128407	100420805
100128427	100422481
100128431	100421575
100128431	446206
100128449	3582
100128450	100419197
100128451	100290727
100128459	414303
100128474	100134524
100128496	128763
100128512	53824
100128523	100421592
100128525	7387
100128537	101929385
100128537	388732
100128553	340311
100128553	389592
100128553	402619
100128554	144678
100128575	100134824
100128589	100421241
100128621	1530
100128625	100421225
100128628	100420915
100128646	100419571
100128662	100419475
100128665	100420780
100128676	100419931
100128707	100422360
100128710	100419437
100128723	100421841
100128725	100294324
100128750	100508534
100128756	100419374
100128762	100422244
100128762	442147
100128764	100422714
100128766	378814
100128772	101060648
100128781	100421612
100128781	406877
100128782	286354
100128788	146443
100128822	100134539
100128833	100422180
100128834	100134953
100128834	100289622
100128834	100290841
100128834	100292281
100128842	100128425
100128853	253342
100128853	649586
100128867	100134659
100128867	100420225
100128885	100134716
100128888	100419169
100128890	100289400
100128890	100293707
100128890	552865
100128899	100420111
100128903	100422302
100128903	4873
100128923	100419311
100128927	664720
100128927	730267
100128927	732257
100128934	53825
100128961	2604
100128963	100419215
100128988	149692
100128998	100509861
100128998	140843
100129000	100134809
100129004	100419212
100129011	654507
100129028	440927
100129066	100129600
100129066	100130355
100129066	401539
100129075	161321
100129075	400214
100129080	22812
100129086	100462834
100129086	613252
100129099	100508833
100129107	100422592
100129126	100134691
100129176	100419669
100129176	378879
100129179	100419502
100129179	652979
100129186	100130869
100129192	100133354
100129192	100294089
100129192	100294199
100129192	100294233
100129192	100294288
100129192	100294497
