OMIT_0030216	AMBP
OMIT_0030217	AMCN
OMIT_0030218	AMD1
OMIT_0030219	AMD1P2
OMIT_0030220	AMELX
OMIT_0030221	AMELY
OMIT_0030222	AMFR
OMIT_0030223	AMH
OMIT_0030224	AMHR2
OMIT_0030225	AMPD1
OMIT_0030226	AMPD2
OMIT_0030227	AMPD3
OMIT_0030228	AMPH
OMIT_0030229	BIN1
OMIT_0030230	AMT
OMIT_0030231	AMY1A
OMIT_0030232	AMY1B
OMIT_0030233	AMY1C
OMIT_0030234	AMY2A
OMIT_0030235	AMY2B
OMIT_0030236	AMYP1
OMIT_0030237	ANCR
OMIT_0030238	ANG
OMIT_0030239	ANGPT1
OMIT_0030240	ANGPT2
OMIT_0030241	ANK1
OMIT_0030242	ANK2
OMIT_0030243	ANK3
OMIT_0030244	ANOP1
OMIT_0030245	ANPEP
OMIT_0030246	SLC25A4
OMIT_0030247	SLC25A5
OMIT_0030248	SLC25A6
OMIT_0030249	ANXA1
OMIT_0030250	ANXA2
OMIT_0030251	ANXA2P1
OMIT_0030252	ANXA2P2
OMIT_0030253	ANXA2P3
OMIT_0030254	ANXA3
OMIT_0030255	ANXA4
OMIT_0030256	ANXA5
OMIT_0030257	ANXA6
OMIT_0030258	ANXA7
OMIT_0030259	ANXA11
OMIT_0030260	ANXA13
OMIT_0030261	AOAH
OMIT_0030262	AOC2
OMIT_0030263	AOX1
OMIT_0030264	APAF1
OMIT_0030265	NUDT2
OMIT_0030266	APOF
OMIT_0030267	APBA1
OMIT_0030268	APBA2
OMIT_0030269	APBB1
OMIT_0030270	APBB2
OMIT_0030271	APC
OMIT_0030272	APCS
OMIT_0030273	AIRE
OMIT_0030274	APEH
OMIT_0030275	APEX1
OMIT_0030276	BIRC2
OMIT_0030277	BIRC3
OMIT_0030278	XIAP
OMIT_0030279	BIRC5
OMIT_0030280	APLP1
OMIT_0030281	APLP2
OMIT_0030282	APOA1
OMIT_0030283	APOA2
OMIT_0030284	APOA4
OMIT_0030285	APOB
OMIT_0030286	APOBEC1
OMIT_0030287	APOC1
OMIT_0030288	APOC1P1
OMIT_0030289	AQP8
OMIT_0030290	APOC2
OMIT_0030291	APOC3
OMIT_0030292	APOC4
OMIT_0030293	APOD
OMIT_0030294	APOE
OMIT_0030295	APOH
OMIT_0030296	APP
OMIT_0030297	APRT
OMIT_0030298	KLK3
OMIT_0030299	FAS
OMIT_0030300	FASLG
OMIT_0030301	SHROOM2
OMIT_0030302	AQP1
OMIT_0030303	AQP2
OMIT_0030304	AQP3
OMIT_0030305	AQP4
OMIT_0030306	AQP5
OMIT_0030307	AQP6
OMIT_0030308	AQP7
OMIT_0030309	AQP9
OMIT_0030310	AR
OMIT_0030311	ABCC6
OMIT_0030312	ARAF
OMIT_0030313	ARCN1
OMIT_0030314	TRIM23
OMIT_0030315	AREG
OMIT_0030316	ARF1
OMIT_0030317	ARF3
OMIT_0030318	ARF4
OMIT_0030319	ARL4D
